Column1	Column2	Column3
a (det)	/e?/	"m?t, nào ?ó"
about (adv)	/??ba?t/	kho?ng
above (prep)	/??b?v/	? bên trên
across (adv)	/??kr??s/	"ngang, ngang qua"
act (v)	/ækt/	"?óng vai (k?ch, chèo, tu?ng, phim), gi? v?"
active (adj)	/?æk.t?v/	"tích c?c, nhanh nh?n, linh l?i"
activity (n)	/æk?t?v.?.t?i/	ho?t ??ng
add (v)	/æd/	"thêm vào, làm t?ng thêm"
afraid (adj)	/??fre?d/	"s? hãi, ho?ng s?"
after (prep)	/?æf.t?/	"(th?i gian) sau, sau khi"
after (prep)	/?æf.t?/	(v? trí) ? ??ng sau
again (adv)	/???en/	"l?i, l?n n?a, n?a"
age (n)	/e?d?/	tu?i
ago (adv)	/???o?/	"(th?i gian) tr??c ?ây, v? tr??c"
agree (v)	/???ri?/	"??ng ý, tán thành"
air (n)	/er/	không khí
all (adj)	/??l/	"t?t c?, h?t th?y, toàn b?"
alone (adj)	/??lo?n/	"m?t mình, cô ??n, cô ??c"
along (adv)	/??l???/	"theo chi?u dài, su?t theo"
already (adv)	/??l?red.i/	"?ã, r?i; ?ã…r?i"
always (adv)	/???l.we?z/	"luôn luôn, lúc nào c?ng, th??ng xuyên"
am (v)	/æm/	"thì, là"
amount (n)	/??ma?nt/	"l??ng, s? l??ng"
an (det)	/æn/	m?t
and (conj)	/ænd/	và
angry (adj)	/?æ?.?ri/	"t?c gi?n, gi?n d?"
another (adj)	/??n?ð.?/	"n?a, thêm n?a, khác"
answer (n)	/?æn.s?/	câu tr? l?i
any (adj)	/?en.i/	"m?t (ng??i, v?t) b?t k?"
anyone (pron)	/?en.i.w?n/	"ng??i nào ?ó, ai ?ó b?t k?"
anything (pron)	/?en.i.???/	"v?t nào ?ó, b?t k? cái gì"
anytime (adv)	/?en.i.ta?m/	b?t k? lúc nào
appear (v)	/??p?r/	xu?t hi?n
apple (n)	/?æp.?l/	qu? táo
are (v)	/??r/	là (dùng cho ngôi th? ba s? nhi?u)
area (n)	/?er.i.?/	"khu v?c, l?nh v?c, ph?m vi, di?n tích"
arm (n)	/??rm/	cánh tay
army (n)	/???r.mi/	quân ??i
around (prep)	/??ra?nd/	"xung quanh, vòng quanh; kho?ng ch?ng"
arrive (v)	/??ra?v/	"?i ??n, ??n n?i"
art (n)	/??rt/	ngh? thu?t
as (adv)	/æz/	"c?ng, ngang b?ng, t??ng t?"
ask (v)	/æsk/	"h?i, ??t câu h?i"
at (prep)	/æt/	? t?i (v? trí)
attack (v)	/??tæk/	t?n công
aunt (n)	/ænt/	"cô, dì, thím, m?, bác gái"
autumn (n)	/???.t??m/	mùa thu
away (adv)	/??we?/	"r?i xa, ra xa"
baby (n)	/?be?.bi/	em bé
back (n)	/bæk/	(b? ph?n c? th?) l?ng
bad (adj)	/bæd/	"t?i t?, x?u, không t?t"
bag (n)	/bæ?/	túi ??ng
ball (n)	/b??l/	qu? bóng
bank (n)	/bæ?k/	ngân hàng
base (n)	/be?s/	"?áy, c? s?, n?n t?ng"
basket (n)	/?bæs.k?t/	"cái r?, cái gi?"
bath (n)	/bæ?/	"b?n t?m, ch?u t?m"
be (v)	/bi?/	"thì, là"
bean (n)	/bi?n/	h?t ??u
"bear (n, v)"	/ber/	con g?u; ch?u ??ng
beautiful (adj)	/?bju?.t??.f?l/	xinh ??p
bed (n)	/bed/	cái gi??ng
bedroom (n)	/?bed.ru?m/	phòng ng?
beer (n)	/b?r/	r??u bia
behave (v)	/b??he?v/	"??i x?, c? x?"
before (adv)	/b??f??r/	"(th?i gian) tr??c ?ây, h?i tr??c"
before (adv)	/b??f??r/	(v? trí) ??ng tr??c
begin (v)	/b????n/	b?t ??u
behind (adv)	/b??ha?nd/	"(v? trí) ??ng sau, phía sau"
behind (adv)	/b??ha?nd/	(th?i gian) ch?m tr?
bell (n)	/bel/	cái chuông
below (prep)	/b??lo?/	"? d??i, th?p h?n"
besides (adv)	/b??sa?dz/	"ngoài ra, h?n n?a, v? l?i"
best (adj)	/best/	"(so sánh) t?t nh?t, ch?t l??ng nh?t, ??p nh?t"
better (adj)	/?bet?.?/	"(so sánh) t?t h?n, ch?t l??ng h?n, ??p h?n"
between (prep)	/b??twi?n/	? gi?a
big (adj)	/b??/	"kích th??c l?n, to"
bird (n)	/b??d/	con chim
birth (n)	/b???/	"s? ra ??i, s? sinh ??"
birthday (n)	/?b???.de?/	sinh nh?t
bit (n)	/b?t/	"mi?ng, m?u, m?t chút"
bite (v)	/ba?t/	c?n
black (adj)	/blæk/	(màu s?c) ?en
bleed (v)	/bli?d/	ch?y máu
block (n)	/bl??k/	"kh?i, t?ng"
blood (n)	/bl?d/	máu
blow (v)	/blo?/	"th?i, hà h?i"
blue (n)	/blu?/	"(màu s?c) xanh d??ng, xanh n??c bi?n"
board (n)	/b??rd/	cái b?ng
boat (n)	/bo?t/	tàu thuy?n
body (n)	/?b??.di/	"c? th?, thân th?"
boil (v)	/b??l/	"sôi, ?un sôi, lu?c"
bone (n)	/bo?n/	x??ng
book (n)	/b?k/	cu?n sách
border (n)	/?b??r.d?/	"ranh gi?i, biên gi?i"
born (v)	/b??rn/	(quá kh?) sinh ??
borrow (v)	/?b??r.o?/	"vay, m??n"
both (adj)	/bo??/	c? hai
bottle (n)	/?b??.t??l/	"chai, l?"
bottom (n)	/?b??.t??m/	ph?n ?áy
bowl (n)	/bo?l/	"cái tô, bát"
box (n)	/b??ks/	"h?p, thùng ??ng"
boy (n)	/b??/	"c?u bé, chú bé, bé trai"
branch (n)	/brænt?/	"cành cây, nhánh, chi nhánh"
brave (adj)	/bre?v/	d?ng c?m
bread (n)	/bred/	bánh m?
break (v)	/bre?k/	"làm v?, làm gãy"
breakfast (n)	/?brek.f?st/	b?a sáng
breathe (v)	/bri?ð/	hít th?
bridge (n)	/br?d?/	cái c?u
bright (adj)	/bra?t/	"sáng s?a, t??i sáng"
bring (v)	/br??/	"mang l?i, mang ??n"
